Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
chr5	34525838	34563641	+	Sh3bp2	34525838
chr5	34525838	34563641	+	Sh3bp2	34525846
chr5	34525838	34563641	+	Sh3bp2	34543365
chr5	34525838	34563641	+	Sh3bp2	34549576
chr5	34525838	34563641	+	Sh3bp2	34549688
chr15	81363669	81400077	-	St13	81400043
chr15	81363669	81400077	-	St13	81399594
chr15	81363669	81400077	-	St13	81399383
chr15	81363669	81400077	-	St13	81400077
chr15	81363669	81400077	-	St13	81400073
chr6	124024568	124065806	+	Vmn2r26	124024568
chr17	37297556	37304313	-	Olfr101	37302632
chr17	37297556	37304313	-	Olfr101	37304313
chr17	37297556	37304313	-	Olfr101	37300484
chrX	73774405	73778925	+	Srpk3	73774405
chr11	120608477	120609093	+	Npb	120608477
chr11	120608477	120609093	+	Npb	120608505
chr5	92006074	92043883	-	Cdkl2	92043041
chr5	92006074	92043883	-	Cdkl2	92043042
chr5	92006074	92043883	-	Cdkl2	92042696
chr5	92006074	92043883	-	Cdkl2	92042672
chr5	92006074	92043883	-	Cdkl2	92031085
chr14	59158503	59178749	-	Gm5142	59178749
chr13	73604006	73620605	+	Clptm1l	73604006
chr5	30367062	30461932	-	Otof	30461902
chr5	30367062	30461932	-	Otof	30461932
chr2	33560965	33640608	-	Lmx1b	33640608
chr2	33560965	33640608	-	Lmx1b	33640480
chr2	33560965	33640608	-	Lmx1b	33640511
chr8	107580381	107588464	-	Psmd7	107588464
chr5	129863421	129898549	-	Phkg1	129879083
chr5	129863421	129898549	-	Phkg1	129874105
chr5	129863421	129898549	-	Phkg1	129898549
chr17	37311795	37317054	-	Olfr102	37317054
chr17	37311795	37317054	-	Olfr102	37314437
chr1	180568924	180601254	+	Parp1	180568929
chr1	180568924	180601254	+	Parp1	180569226
chr1	180568924	180601254	+	Parp1	180598988
chr15	79915807	79971119	-	Cbx7	79932652
chr15	79915807	79971119	-	Cbx7	79932639
chr15	79915807	79971119	-	Cbx7	79932540
chr15	79915807	79971119	-	Cbx7	79933899
chr15	79915807	79971119	-	Cbx7	79971119
chr15	79915807	79971119	-	Cbx7	79971118
chr15	79915807	79971119	-	Cbx7	79932516
chr17	27580780	27635222	-	Gm49804	27635222
chr18	84946191	84951524	-	Timm21	84951524
chr17	27838150	27851968	+	Snrpc	27838150
chr17	27838150	27851968	+	Snrpc	27840135
chr17	27838150	27851968	+	Snrpc	27840155
chr17	27838150	27851968	+	Snrpc	27840087
chr17	37334303	37339698	-	Olfr103	37339698
chr17	37334303	37339698	-	Olfr103	37337230
chr17	37359582	37363993	+	Olfr104-ps	37359582
chrX	83486678	83487924	-	Tsga8	83487924
chr19	11096816	11130876	-	Ms4a20	11130876
chr17	37379033	37386208	+	Olfr105-ps	37379033
chrX	82948870	85206141	+	Dmd	82948903
chrX	82948870	85206141	+	Dmd	83855407
chrX	82948870	85206141	+	Dmd	85048319
chrX	82948870	85206141	+	Dmd	85048413
chr1	173896345	173913046	-	Ifi211	173913046
chr1	164796644	164824266	+	Dpt	164796644
chr2	73816509	73892639	-	Atf2	73845505
chr2	73816509	73892639	-	Atf2	73892536
chr2	73816509	73892639	-	Atf2	73892612
chr2	73816509	73892639	-	Atf2	73892614
chr2	73816509	73892639	-	Atf2	73892631
chr2	73816509	73892639	-	Atf2	73892639
chr2	73816509	73892639	-	Atf2	73892530
chr2	73816509	73892639	-	Atf2	73892593
chr2	73816509	73892639	-	Atf2	73892553
chr2	73816509	73892639	-	Atf2	73863290
chr2	73816509	73892639	-	Atf2	73892555
chr2	153616933	153632781	-	Commd7	153632781
chr2	153616933	153632781	-	Commd7	153632740
chr9	107614125	107635367	-	Gnai2	107635312
chr9	107614125	107635367	-	Gnai2	107635367
chr9	107614125	107635367	-	Gnai2	107626606
chr9	107614125	107635367	-	Gnai2	107635337
chr9	107614125	107635367	-	Gnai2	107635343
chr1	164931644	164935527	-	Xcl1	164935527
chr12	118867824	118966421	-	Abcb5	118966421
chr7	25317164	25365917	+	Megf8	25317164
chr5	129895723	129903623	+	Zbed5	129895723
chr5	129895723	129903623	+	Zbed5	129895778
chr2	153031852	153055775	+	Xkr7	153031852
chr8	71542922	71548085	+	Mvb12a	71542930
chr15	77422209	77447492	-	Apol7b	77447460
chr15	77422209	77447492	-	Apol7b	77446196
chr16	92318765	92321441	-	Fam243	92321441
chr11	79513385	79530589	-	Evi2	79530589
chr3	138048761	138067388	-	Gm5105	138067388
chr17	27579382	27623495	-	Nudt3	27623495
chr17	27579382	27623495	-	Nudt3	27597215
chr17	27579382	27623495	-	Nudt3	27622964
chr17	27579382	27623495	-	Nudt3	27622393
chr17	27579382	27623495	-	Nudt3	27623263
chr17	27579382	27623495	-	Nudt3	27622844
chrX	4952135	4954077	+	Btbd35f27	4952135
chr3	138065052	138081506	+	1110002E22Rik	138065052
chr8	87563853	87589424	+	4933402J07Rik	87563853
chr17	46147387	46153553	-	Mad2l1bp	46153553
chr18	84934782	84981473	+	Fbxo15	84934782
chr18	84934782	84981473	+	Fbxo15	84952116
chr18	84934782	84981473	+	Fbxo15	84965510
chr18	84934782	84981473	+	Fbxo15	84935158
chr5	129881156	129887470	-	Chchd2	129887470
chr16	92345982	92359468	-	Kcne1	92359468
chr16	92345982	92359468	-	Kcne1	92358874
chr1	85526602	85552178	+	AC147806.2	85549687
chr1	85526602	85552178	+	AC147806.2	85526602
chr2	147012996	147078000	+	Xrn2	147012996
chr6	128662385	128677374	+	Clec2h	128662385
chr6	128662385	128677374	+	Clec2h	128662387
chr6	113424634	113435760	-	Cidec	113435760
chr6	113424634	113435760	-	Cidec	113435756
chr6	113424634	113435760	-	Cidec	113434764
chr6	113424634	113435760	-	Cidec	113434613
chr19	52264297	52265476	+	Ins1	52264297
chr11	121701544	121716306	+	Metrnl	121701544
chr11	121701544	121716306	+	Metrnl	121702411
chr11	121701544	121716306	+	Metrnl	121702763
chr3	116007462	116029017	+	Extl2	116007462
chr3	116007462	116029017	+	Extl2	116007478
chr3	116007462	116029017	+	Extl2	116008220
chr2	164960802	164999731	+	Slc12a5	164960824
chr2	164960802	164999731	+	Slc12a5	164960846
chr2	164960802	164999731	+	Slc12a5	164967983
chr2	164960802	164999731	+	Slc12a5	164968239
chr5	151642756	151651242	-	Rfc3	151651242
chr5	108777235	108795363	-	Tmed11	108795363
chr14	17660261	18038090	+	Thrb	17660261
chr14	17660261	18038090	+	Thrb	17660532
chr14	17660261	18038090	+	Thrb	17660896
chr14	17660261	18038090	+	Thrb	17962821
chr14	17660261	18038090	+	Thrb	17981529
chr19	53677306	53867080	+	Rbm20	53677306
chr19	53677306	53867080	+	Rbm20	53793308
chr7	99535466	99606771	+	Arrb1	99535466
chr7	99535466	99606771	+	Arrb1	99535662
chr7	99535466	99606771	+	Arrb1	99535704
chr7	99535466	99606771	+	Arrb1	99539669
chr7	99535466	99606771	+	Arrb1	99594623
chr3	88056520	88058495	-	Naxe	88058495
chr7	114743694	114850383	+	Insc	114743694
chr7	114743694	114850383	+	Insc	114745740
chr7	114743694	114850383	+	Insc	114768736
chr7	114743694	114850383	+	Insc	114768774
chr7	114743694	114850383	+	Insc	114793968
chr7	114743694	114850383	+	Insc	114745766
chr16	59490775	59600979	-	Crybg3	59600979
chr16	59490775	59600979	-	Crybg3	59530191
chr16	59490775	59600979	-	Crybg3	59555752
chr9	107650634	107669530	-	Slc38a3	107659528
chr9	107650634	107669530	-	Slc38a3	107667374
chr9	107650634	107669530	-	Slc38a3	107667426
chr9	107650634	107669530	-	Slc38a3	107668968
chr9	107650634	107669530	-	Slc38a3	107669530
chr9	107650634	107669530	-	Slc38a3	107669000
chr9	107650634	107669530	-	Slc38a3	107665461
chr11	102289300	102296631	-	Atxn7l3	102294163
chr11	102289300	102296631	-	Atxn7l3	102294987
chr11	102289300	102296631	-	Atxn7l3	102295312
chr11	102289300	102296631	-	Atxn7l3	102296631
chr11	102289300	102296631	-	Atxn7l3	102296629
chr5	108791843	108808850	-	Vmn2r8	108808850
chrX	124124961	124135952	-	Vmn2r121	124135952
chr8	111966908	111992302	-	Adat1	111992302
chr8	111966908	111992302	-	Adat1	111990412
chr2	128126038	128162547	+	Bcl2l11	128126039
chr2	128126038	128162547	+	Bcl2l11	128126038
chr2	128126038	128162547	+	Bcl2l11	128126050
chr2	128126038	128162547	+	Bcl2l11	128126040
chr1	133131143	133139783	+	Ppp1r15b	133131143
chr2	130590002	130630038	-	Ubox5	130630038
chr18	44027869	44032417	+	Spink14	44028694
chr18	44027869	44032417	+	Spink14	44027869
chr8	105131800	105150109	+	Ces4a	105131800
chr2	153065955	153081735	+	Ccm2l	153065955
chr2	153065955	153081735	+	Ccm2l	153065998
chr2	153065955	153081735	+	Ccm2l	153066002
chr19	52931926	53040214	-	Xpnpep1	53032145
chr19	52931926	53040214	-	Xpnpep1	53038553
chr19	52931926	53040214	-	Xpnpep1	53032146
chr19	52931926	53040214	-	Xpnpep1	53035392
chr19	52931926	53040214	-	Xpnpep1	53040214
chr19	52931926	53040214	-	Xpnpep1	53038560
chr1	63182691	63214543	-	Gpr1	63214543
chr5	74997988	75044774	-	Chic2	75044774
chr2	174450695	174457882	+	Tubb1	174450695
chr7	55794154	55831677	+	Tubgcp5	55794154
chr7	55794154	55831677	+	Tubgcp5	55794191
chr7	55794154	55831677	+	Tubgcp5	55794225
chr9	54863789	54912530	+	Ireb2	54863789
chr9	54863789	54912530	+	Ireb2	54897473
chr15	100869858	101045938	+	Scn8a	100869858
chr15	100869858	101045938	+	Scn8a	100870645
chr15	100869858	101045938	+	Scn8a	100870661
chr15	100869858	101045938	+	Scn8a	100870904
chr15	100869858	101045938	+	Scn8a	100870945
chr15	100869858	101045938	+	Scn8a	100870952
chr15	100869858	101045938	+	Scn8a	100871420
chr15	100869858	101045938	+	Scn8a	100933429
chr15	100869858	101045938	+	Scn8a	100936306
chr15	100869858	101045938	+	Scn8a	100936325
chr15	100869858	101045938	+	Scn8a	100955501
chr15	100869858	101045938	+	Scn8a	100957084
chr15	100869858	101045938	+	Scn8a	100936271
chr15	100869858	101045938	+	Scn8a	100870683
chr17	27856441	27900041	+	Uhrf1bp1	27856441
chr17	27856441	27900041	+	Uhrf1bp1	27856606
chr17	27856441	27900041	+	Uhrf1bp1	27857243
chr17	27856441	27900041	+	Uhrf1bp1	27894695
chr2	174461072	174464105	-	Atp5e	174464105
chr7	141455198	141460743	+	Pnpla2	141455198
chr7	141455198	141460743	+	Pnpla2	141455207
chr7	141455198	141460743	+	Pnpla2	141455219
chr7	141455198	141460743	+	Pnpla2	141455607
chr2	122426477	122461137	+	Slc28a2	122426477
chr2	122426477	122461137	+	Slc28a2	122440763
chr2	122426477	122461137	+	Slc28a2	122439747
chr2	172549593	172558622	+	Tfap2c	172549593
chr2	172549593	172558622	+	Tfap2c	172550782
chr2	172549593	172558622	+	Tfap2c	172550991
chr16	59471775	59492461	+	Riox2	59471775
chr16	59471775	59492461	+	Riox2	59471804
chr16	59471775	59492461	+	Riox2	59471822
chr16	59471775	59492461	+	Riox2	59472068
chr16	59471775	59492461	+	Riox2	59472343
chr6	128705836	128723059	-	Klrb1	128723059
chr2	130613840	130630027	-	Fastkd5	130630027
chr2	130613840	130630027	-	Fastkd5	130616668
chr2	153649450	153687730	+	Dnmt3b	153649450
chr2	153649450	153687730	+	Dnmt3b	153649453
chr2	153649450	153687730	+	Dnmt3b	153649454
chr2	153649450	153687730	+	Dnmt3b	153649617
chr1	4490931	4497354	-	Sox17	4496413
chr1	4490931	4497354	-	Sox17	4496757
chr1	4490931	4497354	-	Sox17	4497354
chr1	4490931	4497354	-	Sox17	4496363
chr1	4490931	4497354	-	Sox17	4496330
chr1	4490931	4497354	-	Sox17	4493735
chr1	4490931	4497354	-	Sox17	4496396
chr15	74979534	74983430	-	Ly6i	74983430
chr5	32232708	32366520	+	Plb1	32232714
chr5	32232708	32366520	+	Plb1	32239084
chr5	32232708	32366520	+	Plb1	32247351
chr5	108835273	108852601	-	Vmn2r9	108852601
chr3	153857149	153906138	-	Msh4	153906138
chr3	153857149	153906138	-	Msh4	153904731
chr3	153857149	153906138	-	Msh4	153904891
chr9	43310848	43336115	+	Trim29	43310848
chr2	130632839	130642803	-	Lzts3	130638095
chr2	130632839	130642803	-	Lzts3	130642803
chr8	71554238	71558871	-	Tmem221	71558871
chr11	75830999	75938429	-	Rph3al	75937738
chr11	75830999	75938429	-	Rph3al	75925891
chr11	75830999	75938429	-	Rph3al	75937697
chr11	75830999	75938429	-	Rph3al	75938429
chr11	75830999	75938429	-	Rph3al	75911062
chr10	95174746	95324133	-	Cradd	95322965
chr10	95174746	95324133	-	Cradd	95324108
chr10	95174746	95324133	-	Cradd	95323565
chrX	102247381	102252181	-	Cited1	102252181
chrX	102247381	102252181	-	Cited1	102251852
chrX	102247381	102252181	-	Cited1	102250946
chrX	102247381	102252181	-	Cited1	102250775
chrX	102247381	102252181	-	Cited1	102251918
chr1	63273265	63314576	+	Zdbf2	63273265
chr1	63273265	63314576	+	Zdbf2	63273269
chr1	63273265	63314576	+	Zdbf2	63290738
chr8	71560555	71566601	-	Nxnl1	71566601
chr2	155817730	155819426	-	BC029722	155819426
chr1	155212471	155244444	-	BC034090	155244444
chr1	155212471	155244444	-	BC034090	155232740
chr1	155212471	155244444	-	BC034090	155232911
chr10	96617006	96622809	+	Btg1	96617006
chr10	96617006	96622809	+	Btg1	96617554
chr17	27901122	27909844	-	Taf11	27909242
chr17	27901122	27909844	-	Taf11	27907724
chr2	155775342	155818366	+	Mmp24	155775342
chr13	100124852	100137690	+	Smn1	100124852
chr13	100124852	100137690	+	Smn1	100124894
chr13	100124852	100137690	+	Smn1	100124924
chr4	107253593	107279938	+	Hspb11	107253593
chr4	107253593	107279938	+	Hspb11	107253903
chr4	107253593	107279938	+	Hspb11	107253925
chr17	65637507	65642168	-	Txndc2	65642168
chr17	65637507	65642168	-	Txndc2	65639826
chr4	141858142	141874920	-	Efhd2	141874920
chr7	113315626	113369392	-	Btbd10	113347285
chr7	113315626	113369392	-	Btbd10	113369339
chr7	113315626	113369392	-	Btbd10	113369392
chr1	171113918	171126967	+	Cfap126	171113918
chr1	171113918	171126967	+	Cfap126	171113989
chr1	171113918	171126967	+	Cfap126	171121661
chr1	171113918	171126967	+	Cfap126	171122677
chr1	171113918	171126967	+	Cfap126	171125034
chr4	155469114	155470858	+	Tmem52	155469131
chr4	155469114	155470858	+	Tmem52	155469114
chr14	56082166	56085273	-	Mcpt8	56085197
chr7	27959135	27979171	-	Zfp780b	27979139
chr7	27959135	27979171	-	Zfp780b	27979147
chr7	27959135	27979171	-	Zfp780b	27975368
chr10	81264713	81266934	-	Mrpl54	81266934
chr5	108990063	109006527	-	Vmn2r10	109006527
chr9	57544256	57552763	-	Mpi	57552763
chr1	173920407	173942672	-	Ifi203	173942492
chr1	173920407	173942672	-	Ifi203	173942672
chr1	173920407	173942672	-	Ifi203	173942491
chr1	173920407	173942672	-	Ifi203	173942460
chr16	33517328	33664135	+	Slc12a8	33517328
chr16	33517328	33664135	+	Slc12a8	33518278
chr16	33517328	33664135	+	Slc12a8	33518536
chr16	33517328	33664135	+	Slc12a8	33596562
chr16	33517328	33664135	+	Slc12a8	33596627
chr16	33517328	33664135	+	Slc12a8	33518329
chr3	64949196	65378223	+	Kcnab1	64949196
chr3	64949196	65378223	+	Kcnab1	64977418
chr3	64949196	65378223	+	Kcnab1	65109384
chr9	24718138	24774303	-	Tbx20	24774284
chr9	24718138	24774303	-	Tbx20	24769680
chr9	24718138	24774303	-	Tbx20	24774303
chr5	121660563	121687256	+	Brap	121660563
chr5	121660563	121687256	+	Brap	121660869
chr5	121660563	121687256	+	Brap	121662050
chr7	27984854	28014115	-	Zfp850	28014115
chr7	27984854	28014115	-	Zfp850	28008416
chr7	27984854	28014115	-	Zfp850	27985796
chr17	65651729	65772752	-	Rab31	65772752
chr17	65651729	65772752	-	Rab31	65772640
chr17	37390393	37396252	+	Olfr106-ps	37390393
chr11	75999912	76003569	+	1700016K19Rik	75999912
chr3	88716838	88731049	+	Rit1	88716838
chr3	88716838	88731049	+	Rit1	88716876
chr3	88716838	88731049	+	Rit1	88716906
chrX	48411046	48463132	-	Elf4	48454169
chrX	48411046	48463132	-	Elf4	48463132
chr6	49822710	49829507	+	Npy	49822710
chrX	102284639	102505359	-	Hdac8	102505359
chr4	126164082	126202760	-	Thrap3	126202760
chr4	126164082	126202760	-	Thrap3	126175447
chr4	126164082	126202760	-	Thrap3	126202589
chr4	126164082	126202760	-	Thrap3	126178526
chr4	126164082	126202760	-	Thrap3	126201117
chr4	126164082	126202760	-	Thrap3	126202647
chr4	126164082	126202760	-	Thrap3	126202376
chr4	126164082	126202760	-	Thrap3	126202390
chr1	191063012	191086474	+	Nsl1	191063012
chr1	191063012	191086474	+	Nsl1	191063024
chr1	191063012	191086474	+	Nsl1	191063031
chr9	21755442	21760303	-	Spc24	21760303
chr9	21755442	21760303	-	Spc24	21760282
chr9	21755442	21760303	-	Spc24	21760302
chr18	58556257	58612773	+	Slc27a6	58556257
chr15	78667331	78718771	-	Elfn2	78718113
chr15	78667331	78718771	-	Elfn2	78718771
chr4	148602554	148615499	+	Masp2	148602554
chr4	148602554	148615499	+	Masp2	148602564
chr2	91982328	92024502	-	Creb3l1	92024502
chr2	117121374	117182279	+	Spred1	117121374
chr2	117121374	117182279	+	Spred1	117121638
chr4	130792537	130826319	+	Sdc3	130792537
chr4	130792537	130826319	+	Sdc3	130811938
chr4	130792537	130826319	+	Sdc3	130814304
chr14	56099881	56102574	-	Ctsg	56102574
chr8	83608193	83612653	+	Dnajb1	83608193
chr8	83608193	83612653	+	Dnajb1	83608553
chr17	37399226	37407477	+	Olfr107	37399407
chr17	37399226	37407477	+	Olfr107	37399413
chr17	37399226	37407477	+	Olfr107	37399226
chr17	37399226	37407477	+	Olfr107	37399402
chr17	37399226	37407477	+	Olfr107	37405477
chr14	64104286	64113755	+	Prss52	64104286
chr14	56117626	56120625	-	Gzme	56120625
chr11	121830247	121843423	+	Ptchd3	121830247
chr12	112760655	112768990	+	Pld4	112760655
chr13	38151294	38198577	+	Dsp	38151294
chr13	38151294	38198577	+	Dsp	38151328
chr17	53674786	53689333	-	Sgo1	53689333
chr11	120610087	120617936	-	Pcyt2	120617936
chr11	120610087	120617936	-	Pcyt2	120617925
chr3	152210422	152236826	+	Fubp1	152210422
chr3	152210422	152236826	+	Fubp1	152210473
chr3	152210422	152236826	+	Fubp1	152210482
chr3	152210422	152236826	+	Fubp1	152210492
chr3	152210422	152236826	+	Fubp1	152210498
chr3	152210422	152236826	+	Fubp1	152210519
chr3	152210422	152236826	+	Fubp1	152221363
chr3	152210422	152236826	+	Fubp1	152223298
chr3	152210422	152236826	+	Fubp1	152223311
chr3	152210422	152236826	+	Fubp1	152223321
chr3	152210422	152236826	+	Fubp1	152210521
chrX	74480287	74481399	-	Ctag2l1	74481399
chr6	95117240	95129790	+	Kbtbd8	95117240
chr6	95117240	95129790	+	Kbtbd8	95117740
chr6	95117240	95129790	+	Kbtbd8	95117880
chr14	56129556	56132608	-	Gzmd	56132608
chr5	139252324	139270051	+	Get4	139252324
chr5	139252324	139270051	+	Get4	139252370
chr5	139252324	139270051	+	Get4	139253497
chr5	139252324	139270051	+	Get4	139253511
chrX	96713441	96719388	+	Gpr165	96713492
chr16	96158407	96192271	-	Lca5l	96192250
chr16	96158407	96192271	-	Lca5l	96185849
chr16	96158407	96192271	-	Lca5l	96192257
chr17	46161032	46169370	+	Gtpbp2	46161032
chr17	46161032	46169370	+	Gtpbp2	46161066
chr17	46161032	46169370	+	Gtpbp2	46161111
chr17	46161032	46169370	+	Gtpbp2	46167231
chr2	162931528	162937121	+	Srsf6	162931528
chr2	162931528	162937121	+	Srsf6	162931661
chr12	83631236	83683123	+	Rbm25	83631236
chr12	83631236	83683123	+	Rbm25	83631339
chr12	83631236	83683123	+	Rbm25	83632252
chr12	83631236	83683123	+	Rbm25	83632253
chr12	83631236	83683123	+	Rbm25	83632257
chr12	83631236	83683123	+	Rbm25	83632291
chr12	83631236	83683123	+	Rbm25	83632306
chr17	31608894	31637238	-	Cbs	31637199
chr17	31608894	31637238	-	Cbs	31637238
chr17	31608894	31637238	-	Cbs	31637165
chr17	31608894	31637238	-	Cbs	31627491
chr17	31608894	31637238	-	Cbs	31636790
chr17	31608894	31637238	-	Cbs	31636640
chr17	31608894	31637238	-	Cbs	31636649
chr17	31608894	31637238	-	Cbs	31633164
chr5	109043360	109059569	-	Vmn2r11	109059569
chr2	166566342	166713832	-	Prex1	166713832
chr2	166566342	166713832	-	Prex1	166638968
chr2	166566342	166713832	-	Prex1	166582071
chr1	191097847	191108945	+	Batf3	191098325
chr2	38692656	38714542	-	Nr5a1	38712234
chr2	38692656	38714542	-	Nr5a1	38714542
chr11	76019194	76027782	-	Rflnb	76027782
chr4	148612382	148627019	-	Tardbp	148627019
chr4	148612382	148627019	-	Tardbp	148618771
chr4	148612382	148627019	-	Tardbp	148626758
chr4	148612382	148627019	-	Tardbp	148620612
chr4	148612382	148627019	-	Tardbp	148618680
chr4	148612382	148627019	-	Tardbp	148619286
chr4	148612382	148627019	-	Tardbp	148625362
chr4	148612382	148627019	-	Tardbp	148622097
chr4	148612382	148627019	-	Tardbp	148626754
chr4	148612382	148627019	-	Tardbp	148626323
chr4	148612382	148627019	-	Tardbp	148626996
chr3	94693556	94704413	+	Selenbp2	94693556
chr3	94693556	94704413	+	Selenbp2	94693568
chr3	94693556	94704413	+	Selenbp2	94693569
chr3	94693556	94704413	+	Selenbp2	94693659
chr4	141576062	141606096	-	Fblim1	141598224
chr4	141576062	141606096	-	Fblim1	141599924
chr4	141576062	141606096	-	Fblim1	141599835
chr4	141576062	141606096	-	Fblim1	141606037
chr4	141576062	141606096	-	Fblim1	141606096
chr4	141576062	141606096	-	Fblim1	141598517
chr4	141576062	141606096	-	Fblim1	141600032
chr4	141576062	141606096	-	Fblim1	141599888
chr4	141576062	141606096	-	Fblim1	141598206
chr4	141576062	141606096	-	Fblim1	141606025
chr4	141576062	141606096	-	Fblim1	141606036
chr4	141576062	141606096	-	Fblim1	141606027
chr4	141576062	141606096	-	Fblim1	141606052
chr6	87345650	87350942	-	Gkn1	87350942
chr2	155827548	155834854	-	Fam83c	155834854
chr11	49609263	49652739	+	Flt4	49609263
chr10	80798198	80804924	+	Sf3a2	80798198
chr10	80798198	80804924	+	Sf3a2	80798732
chr10	80798198	80804924	+	Sf3a2	80798969
chr14	64122625	64455903	-	Msra	64455903
chr14	64122625	64455903	-	Msra	64416948
chr14	64122625	64455903	-	Msra	64417279
chr1	127868773	127943868	+	Rab3gap1	127868773
chr1	127868773	127943868	+	Rab3gap1	127868812
chr8	105170674	105217989	+	Cbfb	105170674
chr8	105170674	105217989	+	Cbfb	105170689
chr8	105170674	105217989	+	Cbfb	105170744
chr8	105170674	105217989	+	Cbfb	105170945
chr9	59680144	59718874	+	Gramd2	59680144
chr9	59680144	59718874	+	Gramd2	59707637
chr9	59680144	59718874	+	Gramd2	59707764
chr9	59680144	59718874	+	Gramd2	59711181
chr9	45929619	45936058	-	Tagln	45936058
chr9	45929619	45936058	-	Tagln	45935574
chr2	155819832	155826925	-	Eif6	155826925
chr2	155819832	155826925	-	Eif6	155826663
chr2	155819832	155826925	-	Eif6	155826766
chr17	69383050	69391199	+	Zbtb14	69383050
chr17	69383050	69391199	+	Zbtb14	69383319
chr17	69383050	69391199	+	Zbtb14	69383840
chr1	150562524	150993435	-	Hmcn1	150993051
chr1	150562524	150993435	-	Hmcn1	150583212
